策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,FOX,33.27704564476968,74547731.96105957,9.968051606231265,-11.849067206538278,-4.068226427557143,1847,11,36.36,1.61,-3.89,7.450699999999988
高流动性－低波动,FOXA,34.72675397223526,202152307.57141113,10.319738535110945,-12.111041675394619,-3.724053261849347,1848,10,40.0,2.993,-6.53,19.013299999999987
高流动性－低波动,FRHC,45.05378137762238,15366767.08984375,6.256093029982512,-0.9985043952496442,5.070989991656538,2121,18,33.33,1.216,-12.71,5.409599999999992
高流动性－低波动,FRME,24.237722528987007,12158509.631729126,9.503926365103244,10.45331021143554,7.669425038153177,2514,15,26.67,1.119,-6.24,1.2554000000000176
高流动性－低波动,FRPT,50.843462960986606,77674875.13961792,2.963099650699652,-14.129775355042717,6.9654032056277515,2514,20,20.0,0.39,-24.81,-20.451700000000006
高流动性－低波动,FRSH,46.79464546980795,52407655.53059578,22.911972520400937,22.22222816856423,13.999187471516162,1209,4,0.0,0.0,-5.28,-7.652399999999993
高流动性－低波动,FTDR,42.503950207765634,34388120.00083923,5.771387679870754,25.00413442627929,10.282550819735437,1970,12,25.0,1.544,-7.58,8.388799999999996
高流动性－低波动,FTNT,45.38282401385238,489890366.5298462,11.663100518975966,85.56666368814531,13.93599191909447,2514,18,38.89,2.131,-6.27,16.949799999999993
高流动性－低波动,FULT,26.500868497487097,33410717.14782715,8.253280910396676,13.507329406267864,9.246515608479399,2514,16,37.5,1.912,-4.17,15.109100000000009
高流动性－低波动,FWONA,23.75013023083051,10683545.972442627,11.655560429285906,15.644243533505463,10.544334749715723,2514,24,37.5,0.635,-16.26,-10.107199999999994
高流动性－低波动,FWONK,24.60765095262552,144705982.89031982,12.604665648685565,16.30817543387135,10.717373716548373,2514,21,14.29,0.485,-17.14,-18.4767
